Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE TOPIARY,FERNVALE LANE,28,Executive Condominium,3,"3,500",80 to 90,"900 to 1,000",Dec-24
BLOSSOM RESIDENCES,SEGAR ROAD,23,Executive Condominium,3,"5,400",130 to 140,"1,400 to 1,500",Dec-24
BELLEWOODS,WOODLANDS AVENUE 5,25,Executive Condominium,3,"4,500",110 to 120,"1,200 to 1,300",Dec-24
BELLEWOODS,WOODLANDS AVENUE 5,25,Executive Condominium,4,"4,800",110 to 120,"1,200 to 1,300",Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,2,"3,700",70 to 80,700 to 800,Dec-24
THE RAINFOREST,CHOA CHU KANG AVENUE 3,23,Executive Condominium,3,"3,900",80 to 90,"900 to 1,000",Dec-24
ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,"4,200",90 to 100,"900 to 1,000",Dec-24
WATERBAY,EDGEFIELD PLAINS,19,Executive Condominium,3,"4,200",80 to 90,"900 to 1,000",Dec-24
TWIN WATERFALLS,PUNGGOL WALK,19,Executive Condominium,3,"4,100",90 to 100,"1,000 to 1,100",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"4,600",110 to 120,"1,200 to 1,300",Dec-24
WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,"3,600",130 to 140,"1,400 to 1,500",Dec-24
ECOPOLITAN,PUNGGOL WALK,19,Executive Condominium,3,"4,500",110 to 120,"1,200 to 1,300",Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,2,"3,300",90 to 100,"1,000 to 1,100",Dec-24
TREASURE CREST,ANCHORVALE CRESCENT,19,Executive Condominium,3,"3,900",100 to 110,"1,000 to 1,100",Dec-24
BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,"4,800",100 to 110,"1,000 to 1,100",Dec-24
THE CANOPY,YISHUN AVENUE 11,27,Executive Condominium,2,"3,800",80 to 90,800 to 900,Dec-24
NORTHOAKS,WOODLANDS CRESCENT,25,Executive Condominium,3,"3,800",120 to 130,"1,200 to 1,300",Dec-24
TREASURE CREST,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,250",100 to 110,"1,000 to 1,100",Dec-24
WOODSVALE,WOODLANDS DRIVE 72,25,Executive Condominium,3,"3,800",120 to 130,"1,200 to 1,300",Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,3,"4,000",80 to 90,"900 to 1,000",Dec-24
THE VALES,ANCHORVALE CRESCENT,19,Executive Condominium,2,"3,500",70 to 80,700 to 800,Dec-24
THE BROWNSTONE,CANBERRA DRIVE,27,Executive Condominium,2,"3,400",70 to 80,700 to 800,Dec-24
HUNDRED PALMS RESIDENCES,YIO CHU KANG ROAD,19,Executive Condominium,3,"4,200",80 to 90,"900 to 1,000",Dec-24
SEA HORIZON,PASIR RIS RISE,18,Executive Condominium,4,"4,800",120 to 130,"1,300 to 1,400",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"3,700",80 to 90,"900 to 1,000",Dec-24
CHESTERVALE,BANGKIT ROAD,23,Executive Condominium,3,"3,800",130 to 140,"1,300 to 1,400",Dec-24
PARC LIFE,SEMBAWANG CRESCENT,27,Executive Condominium,3,"3,900",90 to 100,"1,000 to 1,100",Dec-24
BELLEWOODS,WOODLANDS AVENUE 5,25,Executive Condominium,3,"3,700",80 to 90,"900 to 1,000",Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
TWIN WATERFALLS,PUNGGOL WALK,19,Executive Condominium,3,"3,900",80 to 90,"900 to 1,000",Dec-24
THE ESPARIS,PASIR RIS DRIVE 4,18,Executive Condominium,4,"6,000",120 to 130,"1,300 to 1,400",Dec-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"3,500",100 to 110,"1,100 to 1,200",Dec-24
BELLEWOODS,WOODLANDS AVENUE 5,25,Executive Condominium,2,"3,450",70 to 80,700 to 800,Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,"4,000",90 to 100,"900 to 1,000",Dec-24
RIVERPARC RESIDENCE,PUNGGOL DRIVE,19,Executive Condominium,3,"3,350",110 to 120,"1,200 to 1,300",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,4,"4,500",130 to 140,"1,400 to 1,500",Dec-24
PRIVE,PUNGGOL FIELD,19,Executive Condominium,3,"4,200",100 to 110,"1,000 to 1,100",Dec-24
LAKE LIFE,TAO CHING ROAD,22,Executive Condominium,3,"4,300",110 to 120,"1,200 to 1,300",Dec-24
TREASURE CREST,ANCHORVALE CRESCENT,19,Executive Condominium,3,"3,500",100 to 110,"1,000 to 1,100",Dec-24
TWIN WATERFALLS,PUNGGOL WALK,19,Executive Condominium,3,"4,250",100 to 110,"1,000 to 1,100",Dec-24
THE EDEN AT TAMPINES,TAMPINES STREET 34,18,Executive Condominium,3,"4,000",110 to 120,"1,200 to 1,300",Dec-24
BLOSSOM RESIDENCES,SEGAR ROAD,23,Executive Condominium,3,"4,300",90 to 100,"1,000 to 1,100",Dec-24
FORESTVILLE,WOODLANDS DRIVE 16,25,Executive Condominium,5,"6,200",130 to 140,"1,400 to 1,500",Dec-24
TWIN WATERFALLS,PUNGGOL WALK,19,Executive Condominium,3,"3,800",90 to 100,"1,000 to 1,100",Dec-24
THE TOPIARY,FERNVALE LANE,28,Executive Condominium,3,"3,300",110 to 120,"1,200 to 1,300",Dec-24
NORTHWAVE,WOODLANDS VIEW,25,Executive Condominium,3,"3,800",90 to 100,"900 to 1,000",Dec-24
THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,"4,000",120 to 130,"1,300 to 1,400",Dec-24
WHITEWATER,PASIR RIS STREET 72,18,Executive Condominium,3,"4,200",110 to 120,"1,100 to 1,200",Dec-24
SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,"3,800",130 to 140,"1,300 to 1,400",Dec-24
THE TOPIARY,FERNVALE LANE,28,Executive Condominium,3,"3,900",80 to 90,"900 to 1,000",Dec-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"4,000",120 to 130,"1,300 to 1,400",Dec-24
PINEVALE,TAMPINES STREET 73,18,Executive Condominium,3,"4,500",120 to 130,"1,200 to 1,300",Dec-24
LA CASA,WOODLANDS DRIVE 16,25,Executive Condominium,3,"4,500",100 to 110,"1,100 to 1,200",Dec-24
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,27,Executive Condominium,4,"4,950",120 to 130,"1,300 to 1,400",Dec-24
ARC AT TAMPINES,TAMPINES AVENUE 8,18,Executive Condominium,3,"4,700",80 to 90,"900 to 1,000",Dec-24
LAKE LIFE,TAO CHING ROAD,22,Executive Condominium,4,"5,500",110 to 120,"1,200 to 1,300",Dec-24
THE AMORE,EDGEDALE PLAINS,19,Executive Condominium,3,"3,800",90 to 100,"900 to 1,000",Dec-24
SEA HORIZON,PASIR RIS RISE,18,Executive Condominium,5,"5,000",140 to 150,"1,500 to 1,600",Dec-24
THE VISIONAIRE,CANBERRA DRIVE,27,Executive Condominium,3,"3,550",70 to 80,800 to 900,Dec-24
THE FLORAVALE,WESTWOOD AVENUE,22,Executive Condominium,3,"4,500",120 to 130,"1,300 to 1,400",Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,2,"3,550",70 to 80,800 to 900,Dec-24
SOL ACRES,CHOA CHU KANG GROVE,23,Executive Condominium,1,"3,200",50 to 60,500 to 600,Dec-24
THE RIVERVALE,RIVERVALE LINK,19,Executive Condominium,3,"3,900",120 to 130,"1,300 to 1,400",Dec-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"3,700",120 to 130,"1,200 to 1,300",Dec-24
YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,"4,400",120 to 130,"1,200 to 1,300",Dec-24
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"3,800",90 to 100,"1,000 to 1,100",Dec-24
SKYPARK RESIDENCES,SEMBAWANG CRESCENT,27,Executive Condominium,3,"4,300",100 to 110,"1,100 to 1,200",Dec-24
THE CRITERION,YISHUN STREET 51,27,Executive Condominium,3,"4,388",80 to 90,800 to 900,Dec-24
