Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,700",90 to 100,"1,000 to 1,100",Dec-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Dec-24
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,NA,"3,300",60 to 70,600 to 700,Dec-24
YISHUN EMERALD,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,200",90 to 100,"1,000 to 1,100",Dec-24
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Dec-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,3,"10,000",150 to 160,"1,600 to 1,700",Dec-24
RIVA LODGE,LEONIE HILL,09,Non-Landed Properties,3,"4,700",110 to 120,"1,100 to 1,200",Dec-24
SKY HABITAT,BISHAN STREET 15,20,Non-Landed Properties,2,"5,800",90 to 100,"1,000 to 1,100",Dec-24
ORCHARD SCOTTS,ANTHONY ROAD,09,Non-Landed Properties,4,"11,700",230 to 240,"2,500 to 2,600",Dec-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,3,"4,800",80 to 90,"900 to 1,000",Dec-24
THE CASCADIA,BUKIT TIMAH ROAD,21,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Dec-24
SYMPHONY HEIGHTS,HUME AVENUE,21,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Dec-24
KENTVIEW PARK,PASIR PANJANG HILL,05,Non-Landed Properties,3,"4,500",110 to 120,"1,100 to 1,200",Dec-24
THE INTERWEAVE,KIM KEAT ROAD,12,Non-Landed Properties,2,"3,000",70 to 80,700 to 800,Dec-24
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,2,"3,600",70 to 80,700 to 800,Dec-24
CASPIAN,LAKESIDE DRIVE,22,Non-Landed Properties,2,"5,400",90 to 100,"1,000 to 1,100",Dec-24
CENTURY MANSIONS,JALAN REMAJA,23,Non-Landed Properties,3,"3,200",90 to 100,"1,000 to 1,100",Dec-24
THE GARDENS AT BISHAN,SIN MING WALK,20,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Dec-24
THE BAYRON,ST. THOMAS WALK,09,Non-Landed Properties,2,"5,500",80 to 90,"900 to 1,000",Dec-24
MIRO,LINCOLN ROAD,11,Non-Landed Properties,3,"7,400",180 to 190,"1,900 to 2,000",Dec-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,800",100 to 110,"1,100 to 1,200",Dec-24
THE SUMMIT,UPPER EAST COAST ROAD,16,Non-Landed Properties,3,"4,800",150 to 160,"1,600 to 1,700",Dec-24
PRESTIGE HEIGHTS,BALESTIER ROAD,12,Non-Landed Properties,NA,"2,600",30 to 40,300 to 400,Dec-24
SILVERSEA,MARINE PARADE ROAD,15,Non-Landed Properties,3,"11,000",150 to 160,"1,700 to 1,800",Dec-24
RIS GRANDEUR,ELIAS ROAD,18,Non-Landed Properties,2,"3,700",80 to 90,"900 to 1,000",Dec-24
UPTOWN @ FARRER,PERUMAL ROAD,08,Non-Landed Properties,2,"3,650",40 to 50,500 to 600,Dec-24
GOLD PALM MANSIONS,LORONG K TELOK KURAU,15,Non-Landed Properties,3,"4,250",100 to 110,"1,100 to 1,200",Dec-24
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,3,"3,100",90 to 100,"900 to 1,000",Dec-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,150",40 to 50,400 to 500,Dec-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Dec-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Dec-24
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Dec-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"8,300",140 to 150,"1,600 to 1,700",Dec-24
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,3,"3,450",70 to 80,700 to 800,Dec-24
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,3,"4,100",110 to 120,"1,100 to 1,200",Dec-24
OXFORD SUITES,OXFORD ROAD,08,Non-Landed Properties,NA,"4,200",80 to 90,800 to 900,Dec-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,4,"6,300",130 to 140,"1,400 to 1,500",Dec-24
MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Dec-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Dec-24
WILKIE 80,WILKIE ROAD,09,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Dec-24
SUNGLADE,SERANGOON AVENUE 2,19,Non-Landed Properties,3,"5,100",90 to 100,"1,000 to 1,100",Dec-24
KUIE PONG LOFT,ROBIN WALK,10,Non-Landed Properties,3,"6,500",130 to 140,"1,400 to 1,500",Dec-24
PALM GARDENS,HONG SAN WALK,23,Non-Landed Properties,3,"3,700",110 to 120,"1,200 to 1,300",Dec-24
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Dec-24
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,1,"2,300",40 to 50,400 to 500,Dec-24
GUILLEMARD EDGE,LORONG 30 GEYLANG,14,Non-Landed Properties,2,"3,100",50 to 60,500 to 600,Dec-24
GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,20,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Dec-24
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,2,"3,950",60 to 70,600 to 700,Dec-24
TRE RESIDENCES,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,1,"2,950",30 to 40,400 to 500,Dec-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Dec-24
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,800",80 to 90,800 to 900,Dec-24
