Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
BUKIT VILLAS,RASOK DRIVE,25,Semi-Detached House,NA,"6,200",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,JALAN BAHASA,11,Semi-Detached House,NA,"14,000",350 to 400,"3,500 to 4,000",Dec-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"7,450",150 to 200,"1,500 to 2,000",Dec-24
RACE COURSE RD/OWEN RD CON AREA,HERTFORD ROAD,08,Terrace House,NA,"7,200",200 to 250,"2,000 to 2,500",Dec-24
SERANGOON GARDEN ESTATE,BRIDPORT AVENUE,19,Terrace House,NA,"10,000",250 to 300,"2,500 to 3,000",Dec-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,200",250 to 300,"2,500 to 3,000",Dec-24
BELGRAVIA PARK,SELETAR TERRACE,28,Terrace House,NA,"6,400",150 to 200,"2,000 to 2,500",Dec-24
DAISY PARK,DAISY AVENUE,13,Terrace House,NA,"5,100",100 to 150,"1,000 to 1,500",Dec-24
LANDED HOUSING DEVELOPMENT,CLOVER AVENUE,20,Semi-Detached House,NA,"9,950",400 to 450,"4,000 to 4,500",Dec-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT TERRACE,15,Terrace House,NA,"9,900",200 to 250,"2,000 to 2,500",Dec-24
ILLOURA,OLD HOLLAND ROAD,10,Semi-Detached House,NA,"15,500",350 to 400,"4,000 to 4,500",Dec-24
THE CHANCERY RESIDENCE,CHANCERY LANE,11,Terrace House,NA,"8,600",150 to 200,"2,000 to 2,500",Dec-24
HENRY PARK,HOLLAND GROVE ROAD,10,Terrace House,NA,"8,500",200 to 250,"2,500 to 3,000",Dec-24
LANDED HOUSING DEVELOPMENT,HOLLAND GROVE DRIVE,10,Semi-Detached House,NA,"13,000",350 to 400,"3,500 to 4,000",Dec-24
LANDED HOUSING DEVELOPMENT,AIDA STREET,15,Terrace House,NA,"9,000",200 to 250,"2,000 to 2,500",Dec-24
LANDED HOUSING DEVELOPMENT,KOON SENG ROAD,15,Terrace House,NA,"9,750",250 to 300,"2,500 to 3,000",Dec-24
MACPHERSON GARDEN ESTATE,JALAN MULIA,13,Terrace House,NA,"4,000",50 to 100,"500 to 1,000",Dec-24
