Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,May-26
BLISS@KOVAN,SIMON LANE,19,Non-Landed Properties,3,"4,400",110 to 120,"1,200 to 1,300",May-26
DE PARADISO,MARTABAN ROAD,12,Non-Landed Properties,2,"4,500",100 to 110,"1,100 to 1,200",May-26
NON-LANDED HOUSING DEVELOPMENT,BALESTIER ROAD,12,Non-Landed Properties,NA,"3,500",80 to 90,"900 to 1,000",May-26
THE MINTON,HOUGANG STREET 11,19,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",May-26
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,May-26
PARK COURT,LORONG 101 CHANGI,15,Non-Landed Properties,3,"3,800",80 to 90,"900 to 1,000",May-26
NON-LANDED HOUSING DEVELOPMENT,LORONG 16 GEYLANG,14,Non-Landed Properties,NA,"3,400",90 to 100,"1,000 to 1,100",May-26
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,1,"2,600",60 to 70,600 to 700,May-26
LOYANG VALLEY,LOYANG AVENUE,17,Non-Landed Properties,2,"4,000",140 to 150,"1,500 to 1,600",May-26
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"4,600",60 to 70,700 to 800,May-26
REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",May-26
LOTUS AT PAYA LEBAR (EAST WING),PAYA LEBAR ROAD,14,Non-Landed Properties,2,"5,100",120 to 130,"1,300 to 1,400",May-26
SYCAMORE TREE,FOWLIE ROAD,15,Non-Landed Properties,1,"2,500",30 to 40,300 to 400,May-26
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,2,"6,800",80 to 90,"900 to 1,000",May-26
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,May-26
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,May-26
BALMORAL CREST,BALMORAL CRESCENT,10,Non-Landed Properties,2,"5,600",100 to 110,"1,000 to 1,100",May-26
THE CATHAY RESIDENCE,MOUNT SOPHIA,09,Non-Landed Properties,2,"5,341",90 to 100,"1,000 to 1,100",May-26
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,3,"7,500",180 to 190,"2,000 to 2,100",May-26
ORCHARD SCOTTS,ANTHONY ROAD,09,Non-Landed Properties,3,"9,800",150 to 160,"1,600 to 1,700",May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,261",50 to 60,500 to 600,May-26
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,000",30 to 40,300 to 400,May-26
ROYALGREEN,ANAMALAI AVENUE,10,Non-Landed Properties,4,"8,500",130 to 140,"1,400 to 1,500",May-26
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,May-26
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,2,"3,000",80 to 90,800 to 900,May-26
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,May-26
THE SEAFRONT ON MEYER,MEYER ROAD,15,Non-Landed Properties,4,"9,700",210 to 220,"2,200 to 2,300",May-26
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,3,"4,200",120 to 130,"1,300 to 1,400",May-26
THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,09,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,May-26
HOLLAND COURT,HOLLAND ROAD,10,Non-Landed Properties,3,"7,000",180 to 190,"1,900 to 2,000",May-26
JAYA TOWER,BUKIT TIMAH ROAD,10,Non-Landed Properties,NA,"9,800",180 to 190,"2,000 to 2,100",May-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,3,"4,600",90 to 100,"1,000 to 1,100",May-26
PATERSON SUITES,PATERSON ROAD,09,Non-Landed Properties,3,"9,700",160 to 170,"1,700 to 1,800",May-26
1919,SOPHIA ROAD,09,Non-Landed Properties,1,"3,700",50 to 60,600 to 700,May-26
THE PROMENADE@PELIKAT,JALAN PELIKAT,19,Non-Landed Properties,1,"3,050",40 to 50,500 to 600,May-26
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"4,500",130 to 140,"1,400 to 1,500",May-26
SILVERSCAPE,LORONG 32 GEYLANG,14,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,May-26
DRAYCOTT EIGHT,DRAYCOTT PARK,10,Non-Landed Properties,4,"17,500",270 to 280,"2,900 to 3,000",May-26
PEACH GARDEN,PEACH GARDEN,15,Non-Landed Properties,4,"8,000",250 to 260,"2,700 to 2,800",May-26
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,730",50 to 60,500 to 600,May-26
THOMSON THREE,BRIGHT HILL DRIVE,20,Non-Landed Properties,4,"7,000",170 to 180,"1,800 to 1,900",May-26
ONE PEARL BANK,PEARL BANK,03,Non-Landed Properties,NA,"3,250",40 to 50,400 to 500,May-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,2,"3,100",60 to 70,600 to 700,May-26
PANDAN VALLEY,PANDAN VALLEY,21,Non-Landed Properties,3,"5,000",150 to 160,"1,600 to 1,700",May-26
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,1,"4,550",60 to 70,600 to 700,May-26
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,NA,"2,850",50 to 60,600 to 700,May-26
PARKSUITES,HOLLAND GROVE ROAD,10,Non-Landed Properties,1,"4,300",60 to 70,600 to 700,May-26
THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-Landed Properties,2,"4,100",70 to 80,700 to 800,May-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,2,"4,400",60 to 70,700 to 800,May-26
CONCOURSE SKYLINE,BEACH ROAD,07,Non-Landed Properties,1,"4,800",70 to 80,800 to 900,May-26
THE HILLFORD,JALAN JURONG KECHIL,21,Non-Landed Properties,2,"2,700",60 to 70,600 to 700,May-26
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,May-26
THE VISION,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,May-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,May-26
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,050",40 to 50,500 to 600,May-26
THE GLADES,BEDOK RISE,16,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,May-26
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,600",110 to 120,"1,200 to 1,300",May-26
PATERSON SUITES,PATERSON ROAD,09,Non-Landed Properties,3,"10,800",150 to 160,"1,600 to 1,700",May-26
THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-Landed Properties,3,"5,600",90 to 100,"1,000 to 1,100",May-26
THE WINDSOR,ONTARIO AVENUE,20,Non-Landed Properties,3,"6,200",200 to 210,"2,100 to 2,200",May-26
TERRASSE,TERRASSE LANE,19,Non-Landed Properties,2,"3,500",70 to 80,800 to 900,May-26
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,May-26
TROPIKA EAST,FOO KIM LIN ROAD,14,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,May-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"2,700",30 to 40,400 to 500,May-26
DUKES RESIDENCE,DUKE'S ROAD,10,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",May-26
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,2,"3,000",60 to 70,600 to 700,May-26
VISIONCREST,OXLEY RISE,09,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",May-26
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,350",70 to 80,700 to 800,May-26
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,2,"5,800",60 to 70,600 to 700,May-26
10 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,May-26
DUNEARN 386,DUNEARN ROAD,11,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,May-26
